Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-4.493341999999999814e+01,-4.493341999999999814e+01
1.500200000000000045e+03,-4.931222999999999956e+01,-4.931222999999999956e+01
1.500400000000000091e+03,-4.671211000000000269e+01,-4.671211000000000269e+01
1.500599999999999909e+03,-4.659017999999999660e+01,-4.659017999999999660e+01
1.500799999999999955e+03,-4.644371000000000294e+01,-4.644371000000000294e+01
1.501000000000000000e+03,-4.455346000000000117e+01,-4.455346000000000117e+01
1.501200000000000045e+03,-4.438302000000000191e+01,-4.438302000000000191e+01
1.501400000000000091e+03,-4.497926999999999964e+01,-4.497926999999999964e+01
1.501599999999999909e+03,-4.372207999999999828e+01,-4.372207999999999828e+01
1.501799999999999955e+03,-4.422254999999999825e+01,-4.422254999999999825e+01
1.502000000000000000e+03,-4.436959000000000231e+01,-4.436959000000000231e+01
1.502200000000000045e+03,-4.416293999999999897e+01,-4.416293999999999897e+01
1.502400000000000091e+03,-4.454046999999999912e+01,-4.454046999999999912e+01
1.502599999999999909e+03,-4.544566999999999979e+01,-4.544566999999999979e+01
1.502799999999999955e+03,-4.539591000000000065e+01,-4.539591000000000065e+01
1.503000000000000000e+03,-4.485302999999999685e+01,-4.485302999999999685e+01
1.503200000000000045e+03,-4.469355000000000189e+01,-4.469355000000000189e+01
1.503400000000000091e+03,-4.468894999999999840e+01,-4.468894999999999840e+01
1.503599999999999909e+03,-4.559868999999999772e+01,-4.559868999999999772e+01
1.503799999999999955e+03,-4.619456999999999880e+01,-4.619456999999999880e+01
1.504000000000000000e+03,-4.571367999999999654e+01,-4.571367999999999654e+01
1.504200000000000045e+03,-4.542540999999999940e+01,-4.542540999999999940e+01
1.504400000000000091e+03,-4.479872000000000298e+01,-4.479872000000000298e+01
1.504599999999999909e+03,-4.535761000000000109e+01,-4.535761000000000109e+01
1.504799999999999955e+03,-4.586104999999999876e+01,-4.586104999999999876e+01
1.505000000000000000e+03,-4.593782000000000210e+01,-4.593782000000000210e+01
1.505200000000000045e+03,-4.634089999999999776e+01,-4.634089999999999776e+01
1.505400000000000091e+03,-4.647256000000000142e+01,-4.647256000000000142e+01
1.505599999999999909e+03,-4.697476999999999947e+01,-4.697476999999999947e+01
1.505799999999999955e+03,-4.703963000000000250e+01,-4.703963000000000250e+01
1.506000000000000000e+03,-4.755277000000000243e+01,-4.755277000000000243e+01
1.506200000000000045e+03,-4.812219000000000335e+01,-4.812219000000000335e+01
1.506400000000000091e+03,-4.786970999999999776e+01,-4.786970999999999776e+01
1.506599999999999909e+03,-4.808867000000000047e+01,-4.808867000000000047e+01
1.506799999999999955e+03,-4.805892999999999660e+01,-4.805892999999999660e+01
1.507000000000000000e+03,-4.794444000000000017e+01,-4.794444000000000017e+01
1.507200000000000045e+03,-4.851715000000000089e+01,-4.851715000000000089e+01
1.507400000000000091e+03,-4.902783999999999764e+01,-4.902783999999999764e+01
1.507599999999999909e+03,-4.893945000000000078e+01,-4.893945000000000078e+01
1.507799999999999955e+03,-5.031287999999999982e+01,-5.031287999999999982e+01
1.508000000000000000e+03,-4.988528999999999769e+01,-4.988528999999999769e+01
1.508200000000000045e+03,-5.002987000000000251e+01,-5.002987000000000251e+01
1.508400000000000091e+03,-5.022870999999999952e+01,-5.022870999999999952e+01
1.508599999999999909e+03,-5.059394000000000347e+01,-5.059394000000000347e+01
1.508799999999999955e+03,-5.120326000000000022e+01,-5.120326000000000022e+01
1.509000000000000000e+03,-5.164576999999999884e+01,-5.164576999999999884e+01
1.509200000000000045e+03,-5.210374000000000194e+01,-5.210374000000000194e+01
1.509400000000000091e+03,-5.283823000000000292e+01,-5.283823000000000292e+01
1.509599999999999909e+03,-5.217638999999999783e+01,-5.217638999999999783e+01
1.509799999999999955e+03,-5.424902000000000157e+01,-5.424902000000000157e+01
1.510000000000000000e+03,-5.577300000000000324e+01,-5.577300000000000324e+01
1.510200000000000045e+03,-5.587480999999999653e+01,-5.587480999999999653e+01
1.510400000000000091e+03,-5.608411000000000257e+01,-5.608411000000000257e+01
1.510599999999999909e+03,-5.510734000000000066e+01,-5.510734000000000066e+01
1.510799999999999955e+03,-5.514448999999999756e+01,-5.514448999999999756e+01
1.511000000000000000e+03,-5.514412000000000091e+01,-5.514412000000000091e+01
1.511200000000000045e+03,-5.662639000000000067e+01,-5.662639000000000067e+01
1.511400000000000091e+03,-5.852242999999999995e+01,-5.852242999999999995e+01
1.511599999999999909e+03,-5.972231000000000023e+01,-5.972231000000000023e+01
1.511799999999999955e+03,-6.137819999999999965e+01,-6.137819999999999965e+01
1.512000000000000000e+03,-6.102423000000000286e+01,-6.102423000000000286e+01
1.512200000000000045e+03,-6.285229000000000354e+01,-6.285229000000000354e+01
1.512400000000000091e+03,-6.068240999999999730e+01,-6.068240999999999730e+01
1.512599999999999909e+03,-6.075712999999999653e+01,-6.075712999999999653e+01
1.512799999999999955e+03,-6.004677000000000220e+01,-6.004677000000000220e+01
1.513000000000000000e+03,-5.842998999999999654e+01,-5.842998999999999654e+01
