Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-4.691935000000000144e+01,-4.691935000000000144e+01
1.500200000000000045e+03,-4.971715999999999980e+01,-4.971715999999999980e+01
1.500400000000000091e+03,-4.899260000000000304e+01,-4.899260000000000304e+01
1.500599999999999909e+03,-4.840341999999999700e+01,-4.840341999999999700e+01
1.500799999999999955e+03,-4.753826000000000107e+01,-4.753826000000000107e+01
1.501000000000000000e+03,-4.716523999999999717e+01,-4.716523999999999717e+01
1.501200000000000045e+03,-4.623073999999999728e+01,-4.623073999999999728e+01
1.501400000000000091e+03,-4.648733000000000004e+01,-4.648733000000000004e+01
1.501599999999999909e+03,-4.557853999999999672e+01,-4.557853999999999672e+01
1.501799999999999955e+03,-4.549369000000000085e+01,-4.549369000000000085e+01
1.502000000000000000e+03,-4.564746999999999844e+01,-4.564746999999999844e+01
1.502200000000000045e+03,-4.549445000000000050e+01,-4.549445000000000050e+01
1.502400000000000091e+03,-4.550681000000000154e+01,-4.550681000000000154e+01
1.502599999999999909e+03,-4.531466000000000349e+01,-4.531466000000000349e+01
1.502799999999999955e+03,-4.511012999999999806e+01,-4.511012999999999806e+01
1.503000000000000000e+03,-4.520598999999999990e+01,-4.520598999999999990e+01
1.503200000000000045e+03,-4.446003000000000327e+01,-4.446003000000000327e+01
1.503400000000000091e+03,-4.439732000000000056e+01,-4.439732000000000056e+01
1.503599999999999909e+03,-4.458621000000000123e+01,-4.458621000000000123e+01
1.503799999999999955e+03,-4.435844000000000165e+01,-4.435844000000000165e+01
1.504000000000000000e+03,-4.441888000000000147e+01,-4.441888000000000147e+01
1.504200000000000045e+03,-4.408901999999999788e+01,-4.408901999999999788e+01
1.504400000000000091e+03,-4.410840000000000316e+01,-4.410840000000000316e+01
1.504599999999999909e+03,-4.423678999999999917e+01,-4.423678999999999917e+01
1.504799999999999955e+03,-4.427723000000000297e+01,-4.427723000000000297e+01
1.505000000000000000e+03,-4.428744999999999976e+01,-4.428744999999999976e+01
1.505200000000000045e+03,-4.419472999999999985e+01,-4.419472999999999985e+01
1.505400000000000091e+03,-4.350034999999999741e+01,-4.350034999999999741e+01
1.505599999999999909e+03,-4.347986000000000217e+01,-4.347986000000000217e+01
1.505799999999999955e+03,-4.344359000000000037e+01,-4.344359000000000037e+01
1.506000000000000000e+03,-4.366212000000000160e+01,-4.366212000000000160e+01
1.506200000000000045e+03,-4.392956999999999823e+01,-4.392956999999999823e+01
1.506400000000000091e+03,-4.366158000000000072e+01,-4.366158000000000072e+01
1.506599999999999909e+03,-4.371735999999999933e+01,-4.371735999999999933e+01
1.506799999999999955e+03,-4.333509999999999707e+01,-4.333509999999999707e+01
1.507000000000000000e+03,-4.304191999999999751e+01,-4.304191999999999751e+01
1.507200000000000045e+03,-4.334011999999999887e+01,-4.334011999999999887e+01
1.507400000000000091e+03,-4.352458000000000027e+01,-4.352458000000000027e+01
1.507599999999999909e+03,-4.345468000000000330e+01,-4.345468000000000330e+01
1.507799999999999955e+03,-4.366537999999999897e+01,-4.366537999999999897e+01
1.508000000000000000e+03,-4.364641999999999911e+01,-4.364641999999999911e+01
1.508200000000000045e+03,-4.377673999999999666e+01,-4.377673999999999666e+01
1.508400000000000091e+03,-4.433897000000000332e+01,-4.433897000000000332e+01
1.508599999999999909e+03,-4.366794999999999760e+01,-4.366794999999999760e+01
1.508799999999999955e+03,-4.353414000000000073e+01,-4.353414000000000073e+01
1.509000000000000000e+03,-4.353978000000000037e+01,-4.353978000000000037e+01
1.509200000000000045e+03,-4.332153999999999883e+01,-4.332153999999999883e+01
1.509400000000000091e+03,-4.377642000000000166e+01,-4.377642000000000166e+01
1.509599999999999909e+03,-4.345474999999999710e+01,-4.345474999999999710e+01
1.509799999999999955e+03,-4.395033999999999708e+01,-4.395033999999999708e+01
1.510000000000000000e+03,-4.415729999999999933e+01,-4.415729999999999933e+01
1.510200000000000045e+03,-4.384512999999999749e+01,-4.384512999999999749e+01
1.510400000000000091e+03,-4.413181999999999761e+01,-4.413181999999999761e+01
