Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-4.380210000000000292e+01,-4.380210000000000292e+01
1.500200000000000045e+03,-4.729630999999999830e+01,-4.729630999999999830e+01
1.500400000000000091e+03,-5.202647000000000332e+01,-5.202647000000000332e+01
1.500599999999999909e+03,-5.129023000000000110e+01,-5.129023000000000110e+01
1.500799999999999955e+03,-5.176449999999999818e+01,-5.176449999999999818e+01
1.501000000000000000e+03,-4.982014000000000209e+01,-4.982014000000000209e+01
1.501200000000000045e+03,-5.017161000000000115e+01,-5.017161000000000115e+01
1.501400000000000091e+03,-5.113754000000000133e+01,-5.113754000000000133e+01
1.501599999999999909e+03,-5.079205999999999932e+01,-5.079205999999999932e+01
1.501799999999999955e+03,-5.247865000000000180e+01,-5.247865000000000180e+01
1.502000000000000000e+03,-5.251680999999999955e+01,-5.251680999999999955e+01
1.502200000000000045e+03,-5.236343000000000103e+01,-5.236343000000000103e+01
1.502400000000000091e+03,-5.285566000000000031e+01,-5.285566000000000031e+01
1.502599999999999909e+03,-5.653338000000000108e+01,-5.653338000000000108e+01
1.502799999999999955e+03,-5.761477000000000004e+01,-5.761477000000000004e+01
1.503000000000000000e+03,-5.575211999999999790e+01,-5.575211999999999790e+01
1.503200000000000045e+03,-5.685784999999999911e+01,-5.685784999999999911e+01
1.503400000000000091e+03,-5.807130999999999688e+01,-5.807130999999999688e+01
1.503599999999999909e+03,-6.038277999999999679e+01,-6.038277999999999679e+01
1.503799999999999955e+03,-6.735378000000000043e+01,-6.735378000000000043e+01
1.504000000000000000e+03,-6.464388999999999896e+01,-6.464388999999999896e+01
1.504200000000000045e+03,-6.334528999999999854e+01,-6.334528999999999854e+01
1.504400000000000091e+03,-6.063971999999999696e+01,-6.063971999999999696e+01
1.504599999999999909e+03,-6.093287000000000120e+01,-6.093287000000000120e+01
1.504799999999999955e+03,-6.524021000000000470e+01,-6.524021000000000470e+01
1.505000000000000000e+03,-6.507581000000000415e+01,-6.507581000000000415e+01
1.505200000000000045e+03,-6.382663999999999760e+01,-6.382663999999999760e+01
1.505400000000000091e+03,-5.801518000000000086e+01,-5.801518000000000086e+01
1.505599999999999909e+03,-5.771285000000000309e+01,-5.771285000000000309e+01
1.505799999999999955e+03,-5.586189000000000249e+01,-5.586189000000000249e+01
1.506000000000000000e+03,-5.694509000000000043e+01,-5.694509000000000043e+01
1.506200000000000045e+03,-5.749934999999999974e+01,-5.749934999999999974e+01
1.506400000000000091e+03,-5.750117999999999796e+01,-5.750117999999999796e+01
1.506599999999999909e+03,-5.704919000000000295e+01,-5.704919000000000295e+01
1.506799999999999955e+03,-5.462570000000000192e+01,-5.462570000000000192e+01
1.507000000000000000e+03,-5.455203999999999809e+01,-5.455203999999999809e+01
1.507200000000000045e+03,-5.298742000000000019e+01,-5.298742000000000019e+01
1.507400000000000091e+03,-5.289142999999999972e+01,-5.289142999999999972e+01
1.507599999999999909e+03,-5.376679000000000030e+01,-5.376679000000000030e+01
1.507799999999999955e+03,-5.227098000000000155e+01,-5.227098000000000155e+01
1.508000000000000000e+03,-5.237850000000000250e+01,-5.237850000000000250e+01
1.508200000000000045e+03,-5.244102000000000174e+01,-5.244102000000000174e+01
1.508400000000000091e+03,-5.209385999999999939e+01,-5.209385999999999939e+01
1.508599999999999909e+03,-5.112648000000000081e+01,-5.112648000000000081e+01
1.508799999999999955e+03,-5.054860999999999649e+01,-5.054860999999999649e+01
1.509000000000000000e+03,-4.989256000000000313e+01,-4.989256000000000313e+01
1.509200000000000045e+03,-4.952595999999999776e+01,-4.952595999999999776e+01
1.509400000000000091e+03,-4.925428999999999746e+01,-4.925428999999999746e+01
1.509599999999999909e+03,-4.935226999999999720e+01,-4.935226999999999720e+01
1.509799999999999955e+03,-4.854370999999999725e+01,-4.854370999999999725e+01
1.510000000000000000e+03,-4.813794999999999646e+01,-4.813794999999999646e+01
1.510200000000000045e+03,-4.821723000000000070e+01,-4.821723000000000070e+01
1.510400000000000091e+03,-4.817779999999999774e+01,-4.817779999999999774e+01
1.510599999999999909e+03,-4.735392999999999830e+01,-4.735392999999999830e+01
1.510799999999999955e+03,-4.620698999999999756e+01,-4.620698999999999756e+01
1.511000000000000000e+03,-4.620618999999999943e+01,-4.620618999999999943e+01
1.511200000000000045e+03,-4.580664000000000158e+01,-4.580664000000000158e+01
1.511400000000000091e+03,-4.604771999999999821e+01,-4.604771999999999821e+01
1.511599999999999909e+03,-4.599172000000000082e+01,-4.599172000000000082e+01
1.511799999999999955e+03,-4.630447999999999809e+01,-4.630447999999999809e+01
1.512000000000000000e+03,-4.566895000000000238e+01,-4.566895000000000238e+01
1.512200000000000045e+03,-4.592258000000000351e+01,-4.592258000000000351e+01
1.512400000000000091e+03,-4.536955999999999989e+01,-4.536955999999999989e+01
1.512599999999999909e+03,-4.535949000000000098e+01,-4.535949000000000098e+01
1.512799999999999955e+03,-4.549235000000000184e+01,-4.549235000000000184e+01
1.513000000000000000e+03,-4.487425000000000352e+01,-4.487425000000000352e+01
1.513200000000000045e+03,-4.487716999999999956e+01,-4.487716999999999956e+01
