Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-5.313268999999999664e+01,-5.313268999999999664e+01
1.500200000000000045e+03,-5.274582000000000193e+01,-5.274582000000000193e+01
1.500400000000000091e+03,-4.732330000000000325e+01,-4.732330000000000325e+01
1.500599999999999909e+03,-5.120721000000000345e+01,-5.120721000000000345e+01
1.500799999999999955e+03,-4.971929000000000087e+01,-4.971929000000000087e+01
1.501000000000000000e+03,-5.001491999999999649e+01,-5.001491999999999649e+01
1.501200000000000045e+03,-4.786726000000000170e+01,-4.786726000000000170e+01
1.501400000000000091e+03,-4.754798999999999864e+01,-4.754798999999999864e+01
1.501599999999999909e+03,-4.599004000000000048e+01,-4.599004000000000048e+01
1.501799999999999955e+03,-4.638515000000000299e+01,-4.638515000000000299e+01
1.502000000000000000e+03,-4.675187999999999988e+01,-4.675187999999999988e+01
1.502200000000000045e+03,-4.652385999999999910e+01,-4.652385999999999910e+01
1.502400000000000091e+03,-4.660564000000000107e+01,-4.660564000000000107e+01
1.502599999999999909e+03,-4.654294999999999760e+01,-4.654294999999999760e+01
1.502799999999999955e+03,-4.650325999999999738e+01,-4.650325999999999738e+01
1.503000000000000000e+03,-4.609333000000000169e+01,-4.609333000000000169e+01
1.503200000000000045e+03,-4.580028000000000077e+01,-4.580028000000000077e+01
1.503400000000000091e+03,-4.575710000000000122e+01,-4.575710000000000122e+01
1.503599999999999909e+03,-4.625880000000000081e+01,-4.625880000000000081e+01
1.503799999999999955e+03,-4.595371999999999701e+01,-4.595371999999999701e+01
1.504000000000000000e+03,-4.624293999999999727e+01,-4.624293999999999727e+01
1.504200000000000045e+03,-4.562635999999999825e+01,-4.562635999999999825e+01
1.504400000000000091e+03,-4.532645000000000124e+01,-4.532645000000000124e+01
1.504599999999999909e+03,-4.545772000000000190e+01,-4.545772000000000190e+01
1.504799999999999955e+03,-4.563165999999999656e+01,-4.563165999999999656e+01
1.505000000000000000e+03,-4.570468999999999937e+01,-4.570468999999999937e+01
1.505200000000000045e+03,-4.595136000000000109e+01,-4.595136000000000109e+01
1.505400000000000091e+03,-4.532218000000000302e+01,-4.532218000000000302e+01
1.505599999999999909e+03,-4.548281000000000063e+01,-4.548281000000000063e+01
1.505799999999999955e+03,-4.528815000000000168e+01,-4.528815000000000168e+01
1.506000000000000000e+03,-4.557665000000000077e+01,-4.557665000000000077e+01
1.506200000000000045e+03,-4.609033000000000158e+01,-4.609033000000000158e+01
1.506400000000000091e+03,-4.588665999999999912e+01,-4.588665999999999912e+01
1.506599999999999909e+03,-4.574649999999999750e+01,-4.574649999999999750e+01
1.506799999999999955e+03,-4.615982000000000340e+01,-4.615982000000000340e+01
1.507000000000000000e+03,-4.535069000000000017e+01,-4.535069000000000017e+01
1.507200000000000045e+03,-4.561507999999999896e+01,-4.561507999999999896e+01
1.507400000000000091e+03,-4.563750000000000284e+01,-4.563750000000000284e+01
1.507599999999999909e+03,-4.578594999999999970e+01,-4.578594999999999970e+01
1.507799999999999955e+03,-4.615926000000000329e+01,-4.615926000000000329e+01
1.508000000000000000e+03,-4.605564999999999998e+01,-4.605564999999999998e+01
1.508200000000000045e+03,-4.638913999999999760e+01,-4.638913999999999760e+01
