Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.512200000000000045e+03,-4.801326999999999856e+01,-4.801326999999999856e+01
1.512400000000000091e+03,-4.779872999999999905e+01,-4.779872999999999905e+01
1.512599999999999909e+03,-4.766535999999999973e+01,-4.766535999999999973e+01
1.512799999999999955e+03,-4.823264000000000351e+01,-4.823264000000000351e+01
1.513000000000000000e+03,-4.762559999999999860e+01,-4.762559999999999860e+01
1.513200000000000045e+03,-4.834662999999999755e+01,-4.834662999999999755e+01
1.513400000000000091e+03,-4.879200999999999766e+01,-4.879200999999999766e+01
1.513599999999999909e+03,-4.913432000000000244e+01,-4.913432000000000244e+01
1.513799999999999955e+03,-4.911820999999999771e+01,-4.911820999999999771e+01
1.514000000000000000e+03,-4.828547999999999973e+01,-4.828547999999999973e+01
1.514200000000000045e+03,-4.793124000000000251e+01,-4.793124000000000251e+01
1.514400000000000091e+03,-4.799591000000000207e+01,-4.799591000000000207e+01
1.514599999999999909e+03,-4.826149999999999807e+01,-4.826149999999999807e+01
1.514799999999999955e+03,-4.890912000000000148e+01,-4.890912000000000148e+01
1.515000000000000000e+03,-4.830125999999999920e+01,-4.830125999999999920e+01
1.515200000000000045e+03,-4.897113000000000227e+01,-4.897113000000000227e+01
1.515400000000000091e+03,-4.897621000000000180e+01,-4.897621000000000180e+01
1.515599999999999909e+03,-4.951610999999999763e+01,-4.951610999999999763e+01
1.515799999999999955e+03,-5.063448999999999955e+01,-5.063448999999999955e+01
1.516000000000000000e+03,-4.966022999999999854e+01,-4.966022999999999854e+01
1.516200000000000045e+03,-4.993851000000000084e+01,-4.993851000000000084e+01
1.516400000000000091e+03,-4.966091000000000122e+01,-4.966091000000000122e+01
1.516599999999999909e+03,-5.007997999999999905e+01,-5.007997999999999905e+01
1.516799999999999955e+03,-5.159250999999999721e+01,-5.159250999999999721e+01
1.517000000000000000e+03,-5.225681999999999761e+01,-5.225681999999999761e+01
1.517200000000000045e+03,-5.433838999999999686e+01,-5.433838999999999686e+01
1.517400000000000091e+03,-5.308684999999999832e+01,-5.308684999999999832e+01
1.517599999999999909e+03,-5.273693999999999704e+01,-5.273693999999999704e+01
1.517799999999999955e+03,-5.374367999999999768e+01,-5.374367999999999768e+01
1.518000000000000000e+03,-5.337116999999999933e+01,-5.337116999999999933e+01
1.518200000000000045e+03,-5.424530000000000030e+01,-5.424530000000000030e+01
1.518400000000000091e+03,-5.426436999999999955e+01,-5.426436999999999955e+01
1.518599999999999909e+03,-5.353504999999999825e+01,-5.353504999999999825e+01
1.518799999999999955e+03,-5.314231000000000193e+01,-5.314231000000000193e+01
1.519000000000000000e+03,-5.286836999999999875e+01,-5.286836999999999875e+01
1.519200000000000045e+03,-5.411097999999999786e+01,-5.411097999999999786e+01
1.519400000000000091e+03,-5.410020999999999702e+01,-5.410020999999999702e+01
1.519599999999999909e+03,-5.568119000000000085e+01,-5.568119000000000085e+01
1.519799999999999955e+03,-5.570251999999999981e+01,-5.570251999999999981e+01
1.520000000000000000e+03,-5.593538000000000210e+01,-5.593538000000000210e+01
1.520200000000000045e+03,-5.695069999999999766e+01,-5.695069999999999766e+01
1.520400000000000091e+03,-5.629205999999999932e+01,-5.629205999999999932e+01
1.520599999999999909e+03,-5.932551000000000130e+01,-5.932551000000000130e+01
1.520799999999999955e+03,-5.809136999999999773e+01,-5.809136999999999773e+01
1.521000000000000000e+03,-5.890404999999999802e+01,-5.890404999999999802e+01
1.521200000000000045e+03,-6.044552999999999798e+01,-6.044552999999999798e+01
