Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-4.642385999999999768e+01,-4.642385999999999768e+01
1.500200000000000045e+03,-5.746699999999999875e+01,-5.746699999999999875e+01
1.500400000000000091e+03,-4.605492000000000274e+01,-4.605492000000000274e+01
1.500599999999999909e+03,-4.487834999999999752e+01,-4.487834999999999752e+01
1.500799999999999955e+03,-4.526594999999999658e+01,-4.526594999999999658e+01
1.501000000000000000e+03,-4.532009999999999650e+01,-4.532009999999999650e+01
1.501200000000000045e+03,-4.326241000000000270e+01,-4.326241000000000270e+01
1.501400000000000091e+03,-4.381956999999999880e+01,-4.381956999999999880e+01
1.501599999999999909e+03,-4.288297000000000025e+01,-4.288297000000000025e+01
1.501799999999999955e+03,-4.350863999999999976e+01,-4.350863999999999976e+01
1.502000000000000000e+03,-4.367595000000000027e+01,-4.367595000000000027e+01
1.502200000000000045e+03,-4.359788999999999959e+01,-4.359788999999999959e+01
1.502400000000000091e+03,-4.370232000000000028e+01,-4.370232000000000028e+01
1.502599999999999909e+03,-4.470767000000000024e+01,-4.470767000000000024e+01
1.502799999999999955e+03,-4.511037000000000319e+01,-4.511037000000000319e+01
1.503000000000000000e+03,-4.421844999999999715e+01,-4.421844999999999715e+01
1.503200000000000045e+03,-4.439144999999999897e+01,-4.439144999999999897e+01
1.503400000000000091e+03,-4.430236000000000018e+01,-4.430236000000000018e+01
1.503599999999999909e+03,-4.523816000000000059e+01,-4.523816000000000059e+01
1.503799999999999955e+03,-4.582395000000000351e+01,-4.582395000000000351e+01
1.504000000000000000e+03,-4.564545999999999992e+01,-4.564545999999999992e+01
1.504200000000000045e+03,-4.486883999999999872e+01,-4.486883999999999872e+01
1.504400000000000091e+03,-4.456584999999999752e+01,-4.456584999999999752e+01
1.504599999999999909e+03,-4.502691999999999695e+01,-4.502691999999999695e+01
1.504799999999999955e+03,-4.563315999999999661e+01,-4.563315999999999661e+01
1.505000000000000000e+03,-4.579066999999999865e+01,-4.579066999999999865e+01
1.505200000000000045e+03,-4.625045999999999680e+01,-4.625045999999999680e+01
1.505400000000000091e+03,-4.659797999999999973e+01,-4.659797999999999973e+01
1.505599999999999909e+03,-4.732282000000000011e+01,-4.732282000000000011e+01
1.505799999999999955e+03,-4.745242999999999967e+01,-4.745242999999999967e+01
1.506000000000000000e+03,-4.808221000000000345e+01,-4.808221000000000345e+01
1.506200000000000045e+03,-4.854419999999999646e+01,-4.854419999999999646e+01
1.506400000000000091e+03,-4.796876999999999924e+01,-4.796876999999999924e+01
1.506599999999999909e+03,-4.811769999999999925e+01,-4.811769999999999925e+01
1.506799999999999955e+03,-4.852662999999999727e+01,-4.852662999999999727e+01
1.507000000000000000e+03,-4.822813000000000017e+01,-4.822813000000000017e+01
1.507200000000000045e+03,-4.888468999999999909e+01,-4.888468999999999909e+01
1.507400000000000091e+03,-4.976039999999999708e+01,-4.976039999999999708e+01
1.507599999999999909e+03,-4.920183000000000106e+01,-4.920183000000000106e+01
1.507799999999999955e+03,-5.025151999999999930e+01,-5.025151999999999930e+01
1.508000000000000000e+03,-5.010860999999999876e+01,-5.010860999999999876e+01
1.508200000000000045e+03,-5.025462999999999880e+01,-5.025462999999999880e+01
1.508400000000000091e+03,-5.155899000000000143e+01,-5.155899000000000143e+01
1.508599999999999909e+03,-5.109949999999999903e+01,-5.109949999999999903e+01
1.508799999999999955e+03,-5.180443000000000353e+01,-5.180443000000000353e+01
1.509000000000000000e+03,-5.258384999999999820e+01,-5.258384999999999820e+01
1.509200000000000045e+03,-5.306996000000000180e+01,-5.306996000000000180e+01
1.509400000000000091e+03,-5.396537000000000006e+01,-5.396537000000000006e+01
1.509599999999999909e+03,-5.311657000000000295e+01,-5.311657000000000295e+01
1.509799999999999955e+03,-5.560025999999999868e+01,-5.560025999999999868e+01
1.510000000000000000e+03,-5.858881000000000228e+01,-5.858881000000000228e+01
1.510200000000000045e+03,-5.694913999999999987e+01,-5.694913999999999987e+01
1.510400000000000091e+03,-5.751814999999999856e+01,-5.751814999999999856e+01
1.510599999999999909e+03,-5.806786999999999921e+01,-5.806786999999999921e+01
1.510799999999999955e+03,-5.876876000000000033e+01,-5.876876000000000033e+01
1.511000000000000000e+03,-5.928721999999999781e+01,-5.928721999999999781e+01
1.511200000000000045e+03,-6.208344000000000307e+01,-6.208344000000000307e+01
1.511400000000000091e+03,-6.645171999999999457e+01,-6.645171999999999457e+01
1.511599999999999909e+03,-7.248465000000000202e+01,-7.248465000000000202e+01
1.511799999999999955e+03,-6.944096999999999298e+01,-6.944096999999999298e+01
1.512000000000000000e+03,-6.595985000000000298e+01,-6.595985000000000298e+01
1.512200000000000045e+03,-6.625995000000000346e+01,-6.625995000000000346e+01
1.512400000000000091e+03,-6.159434999999999860e+01,-6.159434999999999860e+01
1.512599999999999909e+03,-6.198980999999999852e+01,-6.198980999999999852e+01
1.512799999999999955e+03,-5.985079999999999956e+01,-5.985079999999999956e+01
1.513000000000000000e+03,-5.880644000000000204e+01,-5.880644000000000204e+01
1.513200000000000045e+03,-5.679507000000000261e+01,-5.679507000000000261e+01
1.513400000000000091e+03,-5.375565000000000282e+01,-5.375565000000000282e+01
1.513599999999999909e+03,-5.316642000000000223e+01,-5.316642000000000223e+01
1.513799999999999955e+03,-5.459501000000000204e+01,-5.459501000000000204e+01
1.514000000000000000e+03,-5.553625999999999863e+01,-5.553625999999999863e+01
1.514200000000000045e+03,-5.581338999999999828e+01,-5.581338999999999828e+01
1.514400000000000091e+03,-5.337697000000000003e+01,-5.337697000000000003e+01
1.514599999999999909e+03,-5.165910999999999831e+01,-5.165910999999999831e+01
1.514799999999999955e+03,-5.242318999999999818e+01,-5.242318999999999818e+01
1.515000000000000000e+03,-5.153797000000000139e+01,-5.153797000000000139e+01
1.515200000000000045e+03,-5.176200000000000045e+01,-5.176200000000000045e+01
1.515400000000000091e+03,-5.080599000000000132e+01,-5.080599000000000132e+01
1.515599999999999909e+03,-4.895929000000000286e+01,-4.895929000000000286e+01
1.515799999999999955e+03,-4.896515000000000128e+01,-4.896515000000000128e+01
1.516000000000000000e+03,-4.910041999999999973e+01,-4.910041999999999973e+01
1.516200000000000045e+03,-4.968632000000000204e+01,-4.968632000000000204e+01
1.516400000000000091e+03,-4.929088999999999743e+01,-4.929088999999999743e+01
1.516599999999999909e+03,-4.864235000000000042e+01,-4.864235000000000042e+01
1.516799999999999955e+03,-4.752304999999999779e+01,-4.752304999999999779e+01
1.517000000000000000e+03,-4.702391000000000076e+01,-4.702391000000000076e+01
