Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-5.716150999999999982e+01,-5.716150999999999982e+01
1.500200000000000045e+03,-4.722236000000000189e+01,-4.722236000000000189e+01
1.500400000000000091e+03,-4.547876999999999725e+01,-4.547876999999999725e+01
1.500599999999999909e+03,-4.626133999999999702e+01,-4.626133999999999702e+01
1.500799999999999955e+03,-4.600157000000000096e+01,-4.600157000000000096e+01
1.501000000000000000e+03,-4.412411000000000172e+01,-4.412411000000000172e+01
1.501200000000000045e+03,-4.411265000000000214e+01,-4.411265000000000214e+01
1.501400000000000091e+03,-4.471260000000000190e+01,-4.471260000000000190e+01
1.501599999999999909e+03,-4.420443000000000211e+01,-4.420443000000000211e+01
1.501799999999999955e+03,-4.526903999999999684e+01,-4.526903999999999684e+01
1.502000000000000000e+03,-4.494818999999999676e+01,-4.494818999999999676e+01
1.502200000000000045e+03,-4.491718000000000188e+01,-4.491718000000000188e+01
1.502400000000000091e+03,-4.527803000000000111e+01,-4.527803000000000111e+01
1.502599999999999909e+03,-4.633684999999999832e+01,-4.633684999999999832e+01
1.502799999999999955e+03,-4.686381999999999692e+01,-4.686381999999999692e+01
1.503000000000000000e+03,-4.682963000000000164e+01,-4.682963000000000164e+01
1.503200000000000045e+03,-4.597140999999999877e+01,-4.597140999999999877e+01
1.503400000000000091e+03,-4.625777999999999679e+01,-4.625777999999999679e+01
1.503599999999999909e+03,-4.701225999999999772e+01,-4.701225999999999772e+01
1.503799999999999955e+03,-4.825103000000000009e+01,-4.825103000000000009e+01
1.504000000000000000e+03,-4.763461000000000212e+01,-4.763461000000000212e+01
1.504200000000000045e+03,-4.732815000000000083e+01,-4.732815000000000083e+01
1.504400000000000091e+03,-4.642524999999999835e+01,-4.642524999999999835e+01
1.504599999999999909e+03,-4.714166000000000167e+01,-4.714166000000000167e+01
1.504799999999999955e+03,-4.814773999999999887e+01,-4.814773999999999887e+01
1.505000000000000000e+03,-4.806132999999999811e+01,-4.806132999999999811e+01
1.505200000000000045e+03,-4.903804000000000229e+01,-4.903804000000000229e+01
1.505400000000000091e+03,-4.976617000000000246e+01,-4.976617000000000246e+01
1.505599999999999909e+03,-5.068621000000000265e+01,-5.068621000000000265e+01
1.505799999999999955e+03,-5.105751000000000062e+01,-5.105751000000000062e+01
1.506000000000000000e+03,-5.204856000000000193e+01,-5.204856000000000193e+01
1.506200000000000045e+03,-5.270902000000000243e+01,-5.270902000000000243e+01
1.506400000000000091e+03,-5.195893999999999835e+01,-5.195893999999999835e+01
1.506599999999999909e+03,-5.187051999999999907e+01,-5.187051999999999907e+01
1.506799999999999955e+03,-5.257732000000000028e+01,-5.257732000000000028e+01
1.507000000000000000e+03,-5.287651000000000323e+01,-5.287651000000000323e+01
1.507200000000000045e+03,-5.440500000000000114e+01,-5.440500000000000114e+01
1.507400000000000091e+03,-5.501126000000000005e+01,-5.501126000000000005e+01
1.507599999999999909e+03,-5.400536000000000314e+01,-5.400536000000000314e+01
1.507799999999999955e+03,-5.647617000000000331e+01,-5.647617000000000331e+01
1.508000000000000000e+03,-5.588620999999999839e+01,-5.588620999999999839e+01
1.508200000000000045e+03,-5.630174000000000234e+01,-5.630174000000000234e+01
1.508400000000000091e+03,-5.847899999999999920e+01,-5.847899999999999920e+01
1.508599999999999909e+03,-5.921188999999999680e+01,-5.921188999999999680e+01
1.508799999999999955e+03,-6.089213999999999771e+01,-6.089213999999999771e+01
1.509000000000000000e+03,-6.448659999999999570e+01,-6.448659999999999570e+01
1.509200000000000045e+03,-6.637042999999999893e+01,-6.637042999999999893e+01
1.509400000000000091e+03,-6.580892000000000053e+01,-6.580892000000000053e+01
1.509599999999999909e+03,-6.740980999999999312e+01,-6.740980999999999312e+01
1.509799999999999955e+03,-6.946820999999999913e+01,-6.946820999999999913e+01
1.510000000000000000e+03,-6.362039999999999651e+01,-6.362039999999999651e+01
1.510200000000000045e+03,-6.090803999999999974e+01,-6.090803999999999974e+01
1.510400000000000091e+03,-6.338978000000000179e+01,-6.338978000000000179e+01
1.510599999999999909e+03,-6.216091999999999729e+01,-6.216091999999999729e+01
1.510799999999999955e+03,-5.792931999999999704e+01,-5.792931999999999704e+01
1.511000000000000000e+03,-5.759720999999999691e+01,-5.759720999999999691e+01
1.511200000000000045e+03,-5.655669999999999931e+01,-5.655669999999999931e+01
1.511400000000000091e+03,-5.575643000000000171e+01,-5.575643000000000171e+01
1.511599999999999909e+03,-5.563418999999999670e+01,-5.563418999999999670e+01
1.511799999999999955e+03,-5.634895999999999816e+01,-5.634895999999999816e+01
1.512000000000000000e+03,-5.307977999999999952e+01,-5.307977999999999952e+01
1.512200000000000045e+03,-5.324430000000000263e+01,-5.324430000000000263e+01
1.512400000000000091e+03,-5.178432999999999709e+01,-5.178432999999999709e+01
1.512599999999999909e+03,-5.204408999999999708e+01,-5.204408999999999708e+01
1.512799999999999955e+03,-5.167367999999999739e+01,-5.167367999999999739e+01
1.513000000000000000e+03,-5.110857000000000028e+01,-5.110857000000000028e+01
1.513200000000000045e+03,-4.985455000000000325e+01,-4.985455000000000325e+01
1.513400000000000091e+03,-4.864354000000000156e+01,-4.864354000000000156e+01
1.513599999999999909e+03,-4.829469000000000278e+01,-4.829469000000000278e+01
1.513799999999999955e+03,-4.920573000000000263e+01,-4.920573000000000263e+01
1.514000000000000000e+03,-4.937514000000000181e+01,-4.937514000000000181e+01
1.514200000000000045e+03,-4.935067000000000093e+01,-4.935067000000000093e+01
1.514400000000000091e+03,-4.803513999999999839e+01,-4.803513999999999839e+01
1.514599999999999909e+03,-4.719814000000000220e+01,-4.719814000000000220e+01
1.514799999999999955e+03,-4.754278000000000048e+01,-4.754278000000000048e+01
1.515000000000000000e+03,-4.703032000000000323e+01,-4.703032000000000323e+01
1.515200000000000045e+03,-4.720078000000000173e+01,-4.720078000000000173e+01
1.515400000000000091e+03,-4.666631999999999891e+01,-4.666631999999999891e+01
1.515599999999999909e+03,-4.551608000000000231e+01,-4.551608000000000231e+01
