FET Vgs-Id
VG=	-1	to	3	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-1	3.207E-10
2	-0.98	2.3209E-09
3	-0.96	-2.4692E-09
4	-0.94	2.6529E-09
5	-0.92	-2.7598E-09
6	-0.9	2.7371E-09
7	-0.88	2.6128E-09
8	-0.86	2.7505E-09
9	-0.84	-1.8591E-09
10	-0.82	-2.2652E-09
11	-0.8	-2.7624E-09
12	-0.78	1.1578E-09
13	-0.76	2.6445E-09
14	-0.74	2.7292E-09
15	-0.72	-1.5175E-09
16	-0.7	-2.0141E-09
17	-0.68	-2.5468E-09
18	-0.66	7.323E-10
19	-0.64	2.0923E-09
20	-0.62	2.6199E-09
21	-0.6	-1.0125E-09
22	-0.58	-2.7533E-09
23	-0.56	-2.6496E-09
24	-0.54	4.407E-10
25	-0.52	1.834E-09
26	-0.5	2.758E-09
27	-0.48	-6.647E-10
28	-0.46	-2.7656E-09
29	-0.44	-2.5999E-09
30	-0.42	9.129E-10
31	-0.4	2.4901E-09
32	-0.38	2.6787E-09
33	-0.36	-1.5318E-09
34	-0.34	-1.7363E-09
35	-0.32	-2.5634E-09
36	-0.3	9.578E-10
37	-0.28	2.4545E-09
38	-0.26	2.7194E-09
39	-0.24	-1.4391E-09
40	-0.22	-1.7194E-09
41	-0.2	-2.3915E-09
42	-0.18	1.1141E-09
43	-0.16	2.9399E-09
44	-0.14	1.3022E-09
45	-0.12	1.8712E-09
46	-0.1	9.6E-10
47	-0.08	6.4422E-09
48	-0.06	1.4686E-08
49	-0.04	2.8054E-08
50	-0.02	4.9173E-08
51	0	8.7778E-08
52	0.02	1.4699E-07
53	0.04	2.2245E-07
54	0.06	3.3057E-07
55	0.08	4.664E-07
56	0.1	6.1977E-07
57	0.12	7.8561E-07
58	0.14	9.6849E-07
59	0.16	1.1545E-06
60	0.18	1.3479E-06
61	0.2	1.5362E-06
62	0.22	1.7279E-06
63	0.24	1.9282E-06
64	0.26	2.1171E-06
65	0.28	2.312E-06
66	0.3	2.4984E-06
67	0.32	2.6873E-06
68	0.34	2.8712E-06
69	0.36	3.0537E-06
70	0.38	3.2304E-06
71	0.4	3.4059E-06
72	0.42	3.5805E-06
73	0.44	3.7469E-06
74	0.46	3.9183E-06
75	0.48	4.0792E-06
76	0.5	4.2479E-06
77	0.52	4.3985E-06
78	0.54	4.5611E-06
79	0.56	4.7157E-06
80	0.58	4.8687E-06
81	0.6	5.016E-06
82	0.62	5.1597E-06
83	0.64	5.3075E-06
84	0.66	5.4485E-06
85	0.68	5.5865E-06
86	0.7	5.7286E-06
87	0.72	5.8696E-06
88	0.74	6.001E-06
89	0.76	6.1371E-06
90	0.78	6.2656E-06
91	0.8	6.3948E-06
92	0.82	6.5236E-06
93	0.84	6.6421E-06
94	0.86	6.7771E-06
95	0.88	6.896E-06
96	0.9	7.0201E-06
97	0.92	7.1386E-06
98	0.94	7.2584E-06
99	0.96	7.3793E-06
100	0.98	7.4899E-06
101	1	7.6031E-06
102	1.02	7.7192E-06
103	1.04	7.8317E-06
104	1.06	7.9406E-06
105	1.08	8.0521E-06
106	1.1	8.1584E-06
107	1.12	8.274E-06
108	1.14	8.371E-06
109	1.16	8.4763E-06
110	1.18	8.5861E-06
111	1.2	8.685E-06
112	1.22	8.7887E-06
113	1.24	8.8896E-06
114	1.26	8.9905E-06
115	1.28	9.0891E-06
116	1.3	9.193E-06
117	1.32	9.2805E-06
118	1.34	9.3781E-06
119	1.36	9.4799E-06
120	1.38	9.5744E-06
121	1.4	9.6652E-06
122	1.42	9.7578E-06
123	1.44	9.8509E-06
124	1.46	9.9429E-06
125	1.48	1.00347E-05
126	1.5	1.01142E-05
127	1.52	1.02105E-05
128	1.54	1.0302E-05
129	1.56	1.03878E-05
130	1.58	1.04738E-05
131	1.6	1.05586E-05
132	1.62	1.06443E-05
133	1.64	1.07343E-05
134	1.66	1.08103E-05
135	1.68	1.08864E-05
136	1.7	1.0979E-05
137	1.72	1.10612E-05
138	1.74	1.11413E-05
139	1.76	1.12204E-05
140	1.78	1.13019E-05
141	1.8	1.13805E-05
142	1.82	1.1456E-05
143	1.84	1.1529E-05
144	1.86	1.1608E-05
145	1.88	1.1693E-05
146	1.9	1.1765E-05
147	1.92	1.1842E-05
148	1.94	1.1914E-05
149	1.96	1.1992E-05
150	1.98	1.207E-05
151	2	1.2127E-05
152	2.02	1.2204E-05
153	2.04	1.2282E-05
154	2.06	1.2354E-05
155	2.08	1.242E-05
156	2.1	1.2492E-05
157	2.12	1.2561E-05
158	2.14	1.2636E-05
159	2.16	1.2688E-05
160	2.18	1.2764E-05
161	2.2	1.2834E-05
162	2.22	1.2899E-05
163	2.24	1.2965E-05
164	2.26	1.3029E-05
