FET Vgs-Id
VG=	-1	to	3	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-1	1.033E-08
2	-0.98	1.2961E-08
3	-0.96	1.038E-08
4	-0.94	1.3047E-08
5	-0.92	1.027E-08
6	-0.9	1.1493E-08
7	-0.88	1.387E-08
8	-0.86	1.0572E-08
9	-0.84	1.0278E-08
10	-0.82	1.0319E-08
11	-0.8	1.0309E-08
12	-0.78	1.0267E-08
13	-0.76	1.0303E-08
14	-0.74	1.004E-08
15	-0.72	1.1706E-08
16	-0.7	1.2672E-08
17	-0.68	1.0405E-08
18	-0.66	1.0409E-08
19	-0.64	1.035E-08
20	-0.62	1.0278E-08
21	-0.6	1.029E-08
22	-0.58	1.0297E-08
23	-0.56	1.0171E-08
24	-0.54	1.1723E-08
25	-0.52	1.3324E-08
26	-0.5	1.0578E-08
27	-0.48	1.0269E-08
28	-0.46	1.0358E-08
29	-0.44	1.0289E-08
30	-0.42	1.0262E-08
31	-0.4	1.0297E-08
32	-0.38	1.0007E-08
33	-0.36	1.1602E-08
34	-0.34	1.3684E-08
35	-0.32	1.0536E-08
36	-0.3	1.0266E-08
37	-0.28	1.0268E-08
38	-0.26	1.0297E-08
39	-0.24	1.029E-08
40	-0.22	1.0321E-08
41	-0.2	9.433E-09
42	-0.18	1.0912E-08
43	-0.16	1.3045E-08
44	-0.14	1.0608E-08
45	-0.12	1.0438E-08
46	-0.1	1.0542E-08
47	-0.08	1.0867E-08
48	-0.06	1.0506E-08
49	-0.04	1.1974E-08
50	-0.02	1.4545E-08
51	0	2.0269E-08
52	0.02	3.291E-08
53	0.04	4.7143E-08
54	0.06	7.75E-08
55	0.08	1.2397E-07
56	0.1	1.9801E-07
57	0.12	2.9406E-07
58	0.14	4.1618E-07
59	0.16	5.5484E-07
60	0.18	7.1466E-07
61	0.2	8.8409E-07
62	0.22	1.05879E-06
63	0.24	1.2458E-06
64	0.26	1.4316E-06
65	0.28	1.6198E-06
66	0.3	1.8052E-06
67	0.32	1.9965E-06
68	0.34	2.1789E-06
69	0.36	2.3651E-06
70	0.38	2.5478E-06
71	0.4	2.7212E-06
72	0.42	2.9041E-06
73	0.44	3.0789E-06
74	0.46	3.2522E-06
75	0.48	3.4194E-06
76	0.5	3.5888E-06
77	0.52	3.7496E-06
78	0.54	3.9179E-06
79	0.56	4.0702E-06
80	0.58	4.2351E-06
81	0.6	4.3884E-06
82	0.62	4.5369E-06
83	0.64	4.6901E-06
84	0.66	4.8351E-06
85	0.68	4.9855E-06
86	0.7	5.1251E-06
87	0.72	5.2677E-06
88	0.74	5.4106E-06
89	0.76	5.5496E-06
90	0.78	5.6834E-06
91	0.8	5.8151E-06
92	0.82	5.9493E-06
93	0.84	6.0827E-06
94	0.86	6.2072E-06
95	0.88	6.3355E-06
96	0.9	6.4669E-06
97	0.92	6.5878E-06
98	0.94	6.7124E-06
99	0.96	6.8324E-06
100	0.98	6.9531E-06
101	1	7.0752E-06
102	1.02	7.1833E-06
103	1.04	7.3023E-06
104	1.06	7.4193E-06
105	1.08	7.5335E-06
106	1.1	7.6443E-06
107	1.12	7.758E-06
108	1.14	7.8649E-06
109	1.16	7.9781E-06
110	1.18	8.0827E-06
111	1.2	8.1809E-06
112	1.22	8.2955E-06
113	1.24	8.4006E-06
114	1.26	8.5039E-06
115	1.28	8.6053E-06
116	1.3	8.7083E-06
117	1.32	8.807E-06
118	1.34	8.9086E-06
119	1.36	9.0093E-06
120	1.38	9.099E-06
121	1.4	9.2E-06
122	1.42	9.2968E-06
123	1.44	9.3924E-06
124	1.46	9.4856E-06
125	1.48	9.5809E-06
126	1.5	9.6718E-06
127	1.52	9.7714E-06
128	1.54	9.852E-06
129	1.56	9.9391E-06
130	1.58	1.0035E-05
131	1.6	1.01203E-05
132	1.62	1.02108E-05
133	1.64	1.02957E-05
134	1.66	1.03842E-05
135	1.68	1.04712E-05
136	1.7	1.05552E-05
137	1.72	1.06284E-05
138	1.74	1.07235E-05
139	1.76	1.08074E-05
140	1.78	1.08883E-05
141	1.8	1.09679E-05
142	1.82	1.10465E-05
143	1.84	1.11299E-05
144	1.86	1.12142E-05
145	1.88	1.1283E-05
146	1.9	1.13557E-05
147	1.92	1.1451E-05
148	1.94	1.1521E-05
149	1.96	1.1596E-05
150	1.98	1.1673E-05
151	2	1.1745E-05
152	2.02	1.1822E-05
153	2.04	1.1898E-05
154	2.06	1.196E-05
155	2.08	1.2036E-05
156	2.1	1.2115E-05
157	2.12	1.2182E-05
158	2.14	1.2255E-05
159	2.16	1.2324E-05
160	2.18	1.2396E-05
161	2.2	1.2463E-05
162	2.22	1.2517E-05
163	2.24	1.2598E-05
164	2.26	1.2667E-05
165	2.28	1.2732E-05
166	2.3	1.2797E-05
167	2.32	1.2865E-05
168	2.34	1.2932E-05
169	2.36	1.2993E-05
170	2.38	1.3046E-05
171	2.4	1.3119E-05
172	2.42	1.3187E-05
173	2.44	1.3245E-05
174	2.46	1.3308E-05
175	2.48	1.3369E-05
176	2.5	1.3432E-05
177	2.52	1.3492E-05
178	2.54	1.3554E-05
179	2.56	1.3598E-05
180	2.58	1.3669E-05
181	2.6	1.373E-05
182	2.62	1.3784E-05
183	2.64	1.3843E-05
184	2.66	1.3898E-05
185	2.68	1.3963E-05
186	2.7	1.4008E-05
187	2.72	1.4057E-05
188	2.74	1.4122E-05
189	2.76	1.4179E-05
190	2.78	1.4231E-05
191	2.8	1.4282E-05
192	2.82	1.4337E-05
193	2.84	1.4393E-05
194	2.86	1.4441E-05
195	2.88	1.4479E-05
196	2.9	1.4545E-05
197	2.92	1.4596E-05
198	2.94	1.4647E-05
199	2.96	1.4696E-05
200	2.98	1.4745E-05
201	3	1.4796E-05
202	-1	4.796E-08
203	-0.98	4.5049E-08
204	-0.96	4.8789E-08
205	-0.94	4.8226E-08
206	-0.92	5.142E-08
207	-0.9	5.0782E-08
208	-0.88	4.901E-08
209	-0.86	4.9141E-08
210	-0.84	4.7483E-08
211	-0.82	4.4594E-08
212	-0.8	4.7918E-08
213	-0.78	4.8254E-08
214	-0.76	4.8974E-08
215	-0.74	5.0404E-08
216	-0.72	5.1568E-08
217	-0.7	4.9063E-08
218	-0.68	4.9019E-08
219	-0.66	4.7361E-08
220	-0.64	4.494E-08
221	-0.62	4.7955E-08
222	-0.6	4.8276E-08
223	-0.58	4.9167E-08
224	-0.56	5.1729E-08
225	-0.54	4.9813E-08
226	-0.52	4.9029E-08
227	-0.5	4.9156E-08
228	-0.48	4.7513E-08
229	-0.46	4.4669E-08
230	-0.44	4.8056E-08
231	-0.42	4.8307E-08
232	-0.4	4.9286E-08
233	-0.38	5.1735E-08
234	-0.36	4.941E-08
235	-0.34	4.9001E-08
236	-0.32	4.8701E-08
237	-0.3	4.6928E-08
238	-0.28	4.4622E-08
239	-0.26	4.8123E-08
240	-0.24	4.8311E-08
241	-0.22	4.9348E-08
242	-0.2	5.1437E-08
243	-0.18	4.9155E-08
244	-0.16	4.9078E-08
245	-0.14	4.8886E-08
246	-0.12	4.7253E-08
247	-0.1	4.5025E-08
248	-0.08	4.8632E-08
249	-0.06	4.9745E-08
250	-0.04	5.2171E-08
251	-0.02	5.782E-08
252	0	6.4252E-08
253	0.02	7.263E-08
254	0.04	9.3573E-08
255	0.06	1.3311E-07
256	0.08	1.955E-07
257	0.1	2.9798E-07
258	0.12	4.43E-07
259	0.14	6.5043E-07
260	0.16	9.1384E-07
261	0.18	1.252E-06
262	0.2	1.6515E-06
263	0.22	2.1241E-06
264	0.24	2.684E-06
265	0.26	3.2967E-06
266	0.28	4.0177E-06
267	0.3	4.777E-06
268	0.32	5.647E-06
269	0.34	6.5548E-06
270	0.36	7.5702E-06
271	0.38	8.6212E-06
272	0.4	9.7357E-06
273	0.42	1.0965E-05
274	0.44	1.2219E-05
275	0.46	1.3589E-05
276	0.48	1.4967E-05
277	0.5	1.6463E-05
278	0.52	1.7963E-05
279	0.54	1.9556E-05
280	0.56	2.1146E-05
281	0.58	2.282E-05
282	0.6	2.4455E-05
283	0.62	2.6103E-05
284	0.64	2.7814E-05
285	0.66	2.9465E-05
286	0.68	3.117E-05
287	0.7	3.2796E-05
288	0.72	3.4482E-05
289	0.74	3.6087E-05
290	0.76	3.7734E-05
291	0.78	3.931E-05
292	0.8	4.0861E-05
293	0.82	4.2448E-05
294	0.84	4.3951E-05
295	0.86	4.55E-05
296	0.88	4.697E-05
297	0.9	4.8479E-05
298	0.92	4.9911E-05
299	0.94	5.1384E-05
300	0.96	5.278E-05
301	0.98	5.4207E-05
302	1	5.5558E-05
303	1.02	5.6902E-05
304	1.04	5.8285E-05
305	1.06	5.9592E-05
306	1.08	6.0938E-05
307	1.1	6.2218E-05
308	1.12	6.3531E-05
309	1.14	6.4781E-05
310	1.16	6.6053E-05
311	1.18	6.7279E-05
312	1.2	6.8485E-05
313	1.22	6.9722E-05
314	1.24	7.0909E-05
315	1.26	7.212E-05
316	1.28	7.328E-05
317	1.3	7.4467E-05
318	1.32	7.5599E-05
319	1.34	7.675E-05
320	1.36	7.7862E-05
321	1.38	7.9011E-05
322	1.4	8.0091E-05
323	1.42	8.1172E-05
324	1.44	8.228E-05
325	1.46	8.3339E-05
326	1.48	8.4427E-05
327	1.5	8.5454E-05
328	1.52	8.6525E-05
329	1.54	8.7548E-05
330	1.56	8.859E-05
331	1.58	8.9591E-05
332	1.6	9.0585E-05
333	1.62	9.1607E-05
334	1.64	9.2587E-05
335	1.66	9.3584E-05
336	1.68	9.4534E-05
337	1.7	9.5529E-05
338	1.72	9.6472E-05
339	1.74	9.7443E-05
340	1.76	9.8368E-05
341	1.78	9.9329E-05
342	1.8	0.000100238
343	1.82	0.000101153
344	1.84	0.000102069
345	1.86	0.000102965
346	1.88	0.000103887
347	1.9	0.000104757
348	1.92	0.000105666
349	1.94	0.000106531
350	1.96	0.000107424
351	1.98	0.000108274
352	2	0.000109119
353	2.02	0.000109975
354	2.04	0.000110808
355	2.06	0.000111669
356	2.08	0.000112485
357	2.1	0.000113332
358	2.12	0.00011411
359	2.14	0.00011494
360	2.16	0.00011574
361	2.18	0.00011654
362	2.2	0.00011734
363	2.22	0.00011812
364	2.24	0.0001189
365	2.26	0.00011968
366	2.28	0.00012047
367	2.3	0.00012122
368	2.32	0.00012201
369	2.34	0.00012272
370	2.36	0.00012349
371	2.38	0.00012425
372	2.4	0.00012496
373	2.42	0.0001257
374	2.44	0.00012643
375	2.46	0.00012714
376	2.48	0.00012786
377	2.5	0.0001286
378	2.52	0.00012927
379	2.54	0.00013
380	2.56	0.00013067
381	2.58	0.00013139
382	2.6	0.00013206
383	2.62	0.00013272
384	2.64	0.00013341
385	2.66	0.00013407
386	2.68	0.00013473
387	2.7	0.0001354
388	2.72	0.00013606
389	2.74	0.00013671
390	2.76	0.00013735
391	2.78	0.00013798
392	2.8	0.00013863
393	2.82	0.00013926
394	2.84	0.00013984
395	2.86	0.00014049
396	2.88	0.0001411
397	2.9	0.00014171
398	2.92	0.00014232
399	2.94	0.00014293
400	2.96	0.00014351
401	2.98	0.00014414
402	3	0.00014469
