FET Vds-Id
VDS=	0	to	1.5	in	0.02	step
VG=	0	to	1.5	in	0.5	step
NO.	VDS	ID
	V	A
227	1.48	1.2329E-05
228	1.5	1.2333E-05
229	0	-8.064E-09
230	0.02	3.9944E-06
231	0.04	7.8849E-06
232	0.06	1.1636E-05
233	0.08	1.5302E-05
234	0.1	1.886E-05
235	0.12	2.2311E-05
236	0.14	2.5636E-05
237	0.16	2.887E-05
238	0.18	3.1993E-05
239	0.2	3.5012E-05
240	0.22	3.7916E-05
241	0.24	4.0706E-05
242	0.26	4.339E-05
243	0.28	4.5974E-05
244	0.3	4.8442E-05
245	0.32	5.0802E-05
246	0.34	5.3041E-05
247	0.36	5.519E-05
248	0.38	5.7224E-05
249	0.4	5.9146E-05
250	0.42	6.0954E-05
251	0.44	6.2666E-05
252	0.46	6.4266E-05
253	0.48	6.5757E-05
254	0.5	6.7136E-05
255	0.52	6.8432E-05
256	0.54	6.9613E-05
257	0.56	7.0689E-05
258	0.58	7.1667E-05
259	0.6	7.2566E-05
260	0.62	7.3353E-05
261	0.64	7.4044E-05
262	0.66	7.4656E-05
263	0.68	7.5198E-05
264	0.7	7.5647E-05
265	0.72	7.6018E-05
266	0.74	7.6326E-05
267	0.76	7.6586E-05
268	0.78	7.6779E-05
269	0.8	7.6922E-05
270	0.82	7.7034E-05
271	0.84	7.713E-05
272	0.86	7.7197E-05
273	0.88	7.724E-05
274	0.9	7.7284E-05
275	0.92	7.7326E-05
276	0.94	7.7361E-05
277	0.96	7.739E-05
278	0.98	7.7412E-05
279	1	7.7442E-05
280	1.02	7.7473E-05
281	1.04	7.7488E-05
282	1.06	7.751E-05
283	1.08	7.7529E-05
284	1.1	7.7569E-05
285	1.12	7.7579E-05
286	1.14	7.7607E-05
287	1.16	7.7618E-05
288	1.18	7.7652E-05
289	1.2	7.7674E-05
290	1.22	7.7686E-05
291	1.24	7.7707E-05
292	1.26	7.774E-05
293	1.28	7.7759E-05
294	1.3	7.7779E-05
295	1.32	7.7794E-05
296	1.34	7.7826E-05
297	1.36	7.7845E-05
298	1.38	7.7852E-05
299	1.4	7.7874E-05
300	1.42	7.7915E-05
301	1.44	7.7922E-05
302	1.46	7.7948E-05
303	1.48	7.7968E-05
304	1.5	7.8002E-05
